TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,13154,13337.5,11409.8,8800.34,7549.48,7590.45,7154.52,5355.95,3381.35,2101.88,1449,1643.13,2836.39,3608.08,2700.68,644.328,385.399,3868.97,7118.48,6959.71,5483.99,4888.71,4793.77,4020.85,2737.26,1701.66,931.787,291.719,85.4358,705.655,1724.36,1309.9,858.721,4658.15,8533.88,6458.25,2293.66,519.531,664.397,1508.33,2708.4,4158.54,5268.29,5133.63,3458.77,1741.7,2633.21,6119.11,8450.59,6441.67,2631.48,2363.37,4091.97,3665.15,2230.5,4470.06,12705.7,19319.7,17479.3,9335.12,2454.61,3741.92,8253.75,8861.51,6143.46,3048.31,2756.12,6332.46,12817.3,19574.1,21988.9,20653.1,19445.4,19419.2,22971.2,42014,84387.4,123859,133047,118878,87577.1,50792.1,30779.8,23428.8,16793.2,11834.7,9645.06,8060.23,6015.8,4528.69,4103.52,4010.71,3589.46,3078.38,3131.47,4901.3,8050.42,9102.2,7030.22,3826.81,1052.33,132.804,748.509,1803.77,3181.25,4598.14,4999.42,4093.37,2755.12,1608.55,980.398,1548.92,3317.83,4238.15,3058.15,1272.71,243.001,34.6981,120.092,41.2092,3260.68,16875.7,27976.2,16473.9,1405.29,1442.73,3366.93,2588.62,3721.72,5511.21,5468.36,3761.07,4154.61,8435.63,13382.5,13713.7,8455.11,2603.97,845.413,2280.38,2426.25,717.845,208.634,1638.31,2901.43,1781.03,246.315,1749.38,6579.56,11513.2,12095.3,9307.4,7332.59,7220.92,7376.01,6554.71,5831.52,6998.89,10099.8,12545.6,12551.7,10897.7,9822.8,13100,30005.4,73570.8,117572,120715,90384.3,50622.6,20992.4,9527.77,7386.7,7837.53,8610.39,8706.25,7377.05,5888.61,5667.53,6386.19,6535.79
1.486077098,17735.1,18027.5,16600.5,12903.4,10784.4,11873.9,12899.1,10159.2,5693,3130.74,2773.08,3677.51,5135.8,5030.46,3930.74,1479.09,1076,6687.03,11650.4,11217.4,9013.7,8332.23,8246.13,6723.11,4395.66,2620.87,1323.23,344.944,36.407,896.532,2578.04,2927.24,3021.97,10499.9,17756.2,11867.6,3012.88,363.244,944.577,2099.46,4002.94,6467.13,8029.41,7868.27,5988.45,3857.6,5064.68,9568.15,12905.5,10691.4,5655.97,4962.9,5970.64,3964.24,2067.05,3887.44,16567.3,25799.3,22408.7,14634.4,6345.67,7672.99,11978.5,11678.8,9080.63,5470.53,4842.28,9053.96,17806.4,27672,32832.8,30726.4,28245.5,31716,34235.3,50310.5,139514,275098,329234,265969,144218,61706,44505.5,35217,23518.4,18671.1,16073.4,12868.5,9166.82,6431.79,5880.88,6125.75,5321.41,4437.61,5293.83,9199.15,14382.6,13660,9200.95,6096.31,2295.31,631.588,1307.71,2652.55,5490.41,8675.65,9407.76,7397.97,4713.8,2804.32,2060.25,3082.94,5569.29,6315.05,4027.05,1454.41,284.647,12.4746,181.614,126.22,4205.51,26940.1,51276.5,30166.8,2344.64,3175.64,3628.77,2522.92,3961.22,6920.88,8511.18,6747.15,7269.25,13018.6,19994.2,20193,12804.8,4819.32,2266.27,4117.95,4136.67,1360.03,560.224,2265.22,4553.69,3282.54,889.172,2634.39,9141.17,17947.3,19307.3,14250.7,11076.5,11254.4,11435,9803.12,8923.45,10784.5,14953.1,18874.1,18563.3,16322.6,17613,20980.9,33858.8,113589,246369,283033,193848,80513.6,24977.8,15381.2,12695.5,11175.9,12742.4,13723.5,11701.2,9093.87,7770.75,8353.44,8939.27
2.972154195,20234.4,20472.9,20566,16047.6,12436.5,15615.2,18902.2,15929.6,8450.68,3329.06,4108.28,7178.01,7921.61,5222.44,5176.54,2891.82,2482.4,9714.92,16189,14987.3,11958.5,11551,11835.6,9390.58,5670.52,3449.26,1676.85,326.404,8.22357,1099.24,3356.26,4576.57,6731.48,20003.6,31349.4,18282.2,3430.91,188.953,1131.35,2547.02,4845.71,8571.84,10383.7,9788.47,8599.99,6627.47,7737.85,12306.8,16658,14994.1,9161.7,7984.57,7892.63,3294.2,1949.86,2377.77,20313.3,29644.1,23508.4,20037.7,11754.3,12373.1,14876,12652.5,11558.8,8038.13,6682.88,10975.1,20760.5,33838,40534.8,38538.4,35238.7,39369.1,47112.8,48482.3,178482,501115,669623,481638,181117,62387.1,58049.1,41116.1,29220.9,23916.8,21723.7,17760.6,11364,7671.12,6971.43,7930.26,6762.63,5071.44,7390.04,13938.6,21384.4,18131.6,9174.32,8472.81,4812.75,1679.76,1551.26,3244.17,8224.93,13072,14405.2,11091,6504.21,3906.28,3293.56,4903.69,7952.25,7850.79,4591.2,1493.31,269.539,16.8135,347.874,367.569,4702.74,36314.1,82431.9,51204.1,6237.3,5376.61,3124.32,2168.5,3554.53,7426.38,11193.8,10007.5,10000.6,16678.2,25702.5,25024,16256.6,7504.79,4292.56,5938.61,5912.85,2495.96,1107.32,2326.79,6339.04,5608.68,1860.98,3030.33,11203.4,23842.9,25881.7,18261.9,13478.1,14801.5,14980,12071.3,11286.4,13725.9,18949.6,23281.3,23447.9,20845.3,23118.1,30663.8,31382.3,137570,432428,555896,340653,97144.4,25463.9,22412.2,15832.1,14125.9,15667,17642.4,16097.6,11386.5,8979.19,9169.43,10537.4
4.458231293,20117.6,19531.1,21930.2,17624.1,11408.1,18077.3,23459.5,20337.7,11674.3,2676.42,5033.45,12797.4,10762.3,3789.79,6699.67,4284.36,3975.09,12789.7,19158.4,16761.3,13703.7,13038.6,14762.7,11218.3,6047.53,3955.38,1883.89,275.617,10.3287,1229.21,4105.34,5411.23,11055.6,33070.4,47971.9,23787,3637.96,33.5016,1298.69,2571.93,5050.71,9695.09,11780,9955.68,10616.2,9556.84,9334.27,13840.8,18206.7,17860.3,12707.1,9970.07,9397.83,2252.84,1947.41,784.905,24500,29086.3,20635.3,24147.7,16688.5,16704.3,16212.7,11156,13010.5,9995.92,7426.52,11547.7,20799.3,35204.9,43940.9,39997.5,38254.1,41107.4,53738.6,42310,184379,778698,1.15914e+06,738419,180308,58248.2,62707.1,41123.7,31430.5,25124.5,25565.6,20995.8,11685.8,8019.53,6832.85,8754.37,7873.33,4350.48,9200.33,17965.8,26001.4,22344.6,6798.91,10496.9,9518.31,3392.72,1075.88,4046.61,10242.5,16116.2,19451.3,13689.6,7513.76,4710.6,4096.33,6607.31,9799.11,8309.22,4557.98,1402.29,194.149,72.415,602.424,899.585,4441.55,42351.6,118033,78862.4,13695.1,7144.22,2287.62,1558.58,2667.48,6929.47,12514.6,12873.9,11138.1,18181.1,29189.4,25847.2,18303,9453.18,6327.14,7624.37,6725.37,4049.26,2051.77,1562.3,8249.57,8921.16,2763.48,2731.44,12557.3,26857.7,30102.1,20005.5,13487.8,16856.1,16917.1,12389.4,12187.3,14943.1,20088.5,25358.4,24456.4,23202.1,25443.8,36344.8,27284.3,135976,656429,939686,512133,92358.6,25388.6,26247.5,16499,15782.8,15719.9,19771.5,19110.7,11795.1,9024.45,8447.5,10688.2
5.944308390,17737,15367.8,20439.3,16985,8358.52,18333.7,25466.8,21384.4,14752.3,1912.95,5960.96,20058.1,13588.3,1585.9,8467.48,5163.45,4787.04,15672.1,19253.3,15925.7,13815.5,11940.3,16542.5,11373.3,5498.79,3913.76,1890.53,232.729,19.9648,1345.35,4580.24,5205.29,14503.5,47786.9,65132,26356,3647.23,42.8905,1529.99,1984.36,4819.24,9102.92,12061,8192.94,11389.8,12166,8861.8,13967,16905.8,18120.2,15706.6,9751.97,10232.7,1695.21,2277.48,770.524,28630.1,24858.2,15118.7,25693.5,19105.6,19573.8,15404.9,8004.49,12793.4,10834.7,6707.59,10682.3,17649.3,31868.2,41204.2,35369.9,35326.6,37062.2,51374.2,34342.4,159746,1.0568e+06,1.75071e+06,984030,146350,50229.7,57263.8,35184.6,29216.3,22122.4,25899.7,22096.1,9749.26,7491.07,5457.1,8424.14,8297.13,2747.27,10240.8,20305.6,26017.2,25644.3,3614.16,12392.3,16252.1,6029.67,330.486,5262.11,10761.8,16518.6,23853.7,13868.6,7573.36,4940.39,4027.68,8028.27,10122.2,7805.88,3760.4,1321.17,65.0145,226.539,986.121,1510.99,3664.61,43323.6,151527,111088,22554.8,7610.9,1630.74,1104.72,1312.07,6173.69,11340.1,15011.7,10096.2,17155.7,29789,21820.6,18759.1,9676.98,7668.64,8990.54,5968.44,5741.89,3553.06,457.726,10491.7,12713.4,3396.37,2005.66,12781.5,25890.9,30652.4,18893.8,11168.2,16695,16612.4,10642.6,11355.3,13857.2,18261.7,23893.7,21892.5,21772.4,24344.8,35861.5,22987.2,114875,880325,1.39309e+06,675795,71813.7,24207.6,25797.5,14663.3,15179.9,13286.8,19062.8,20151.9,10026.9,7949.31,6481.58,9325.26
7.430385488,13730,9638.73,16717.7,14306.1,4728.06,16123.3,24743.6,18246.8,17068.1,2099.88,7736.32,27290,16196.4,152.498,10278.6,5442.1,4547.76,18015.6,16287.9,13026.1,12162.9,8883.68,16540.7,10016.1,4155.33,3397.57,1634.16,270.654,25.5717,1607.21,4389.99,4297.69,15715.8,60818.5,79806.7,25091.1,3444.46,450.247,1655.59,1166.06,4102.3,7135.08,11076.4,5321.72,10822.5,13725.9,6600.36,12647.7,13425.5,15583.5,17578.7,7320.49,10353.9,2417.84,3124.55,3293.71,31604.7,19376.5,9255.73,24319.4,17812.9,20270.6,12683.1,4460.27,11024.7,10282.4,4831.22,8719.35,12470.3,24739.4,34215.8,24836.1,30099.7,25354.1,45977.3,22300.2,121004,1.27005e+06,2.36155e+06,1.15309e+06,101363,35203.4,48422.9,23034.9,24699,15588.6,22892.8,20649.3,6437.77,6280.33,3367.15,7270.15,7752.49,1181.9,10124.2,20721.4,20892.5,27713,1922.09,14747.1,23359.4,9436.82,209.954,7013.77,9711,14306.7,26807.1,11481.6,6819.03,4473.91,3255.41,8605.85,9012.07,6274.83,2716.49,1117.6,22.7306,574.196,1764,1747.56,2818.33,38539.5,176237,144346,28906.8,6925.91,1400.5,1023.31,282.663,5066.19,8427.5,15646.3,7542.61,14385.1,27349.4,14665,17397.3,8205.12,7855.39,9741.57,4007.98,7149.68,5609.44,40.3492,12969.9,16085.3,3774.53,1264.55,11837.3,21206.6,27399.9,15450.8,7438.61,14417.6,14154.5,7524.67,9133.52,10894.1,13936.7,20037,15605,18833.3,17891.8,32919.9,16352.4,88515.9,1.05703e+06,1.84729e+06,789631,49806.1,19316.8,23756.3,9771.85,13379.5,8955.1,15937.3,18873.7,6863.23,6198.66,3900.35,7237.78
8.916462585,8657.29,4824.1,11739.7,10772,1948.31,11767,22392.5,11730.5,18510,3765.37,10164.9,33094.5,18097.4,569.304,11624.9,5588.63,3596.25,19487,11356.4,9143.77,9401.79,5045.64,14955.9,7650.59,2585.68,2540.82,1202.67,396.971,55.6562,2014.07,3615.56,3057.56,14163.6,68959.4,89297,20692.4,3065.3,1194.24,1633.62,424.817,3207.02,4466.42,9154.89,2583.56,9226.54,13942.1,3529.77,10412.7,9047.05,11194.1,18053.2,3793.1,10147.3,4467.03,4282.72,7847.53,33054.4,14443.3,5076.5,21196.3,12784.4,19227.6,8632.52,1697.99,8670.51,8199.3,2892.73,5797.59,7392.98,16910.6,23387.4,15284.4,20498.2,12766.5,40926.7,8375.72,84894.5,1.36237e+06,2.91714e+06,1.18408e+06,68726.1,18326.4,37181,12831.4,15934.5,9389.47,17723.6,16984.9,3430.67,4243.27,1650.31,5763.26,6494.46,293.034,8726.69,19903.8,12457.2,28576.7,3380.91,16946.3,29510.9,12708.7,1233.83,9015.35,7994.91,10907.2,27718,7639.04,5430.56,3607.69,2048.49,8355.78,6703.99,4423.44,1655.3,841.612,185.292,1057.19,3097.49,1770.79,2251.14,28807.3,189165,173486,29601.3,5991.38,1697.62,1045.87,31.7077,4079.3,4753.84,14806.9,4683.2,11099.3,22893,7100.66,14629,5736.08,6816.53,9822.95,1724.96,8189.52,7774.32,1046.94,15303.8,18265.9,3811.27,830.626,10287.5,14031.8,21866.2,10703.7,3588.76,11191.1,9927.26,4537.2,6083.07,7171.46,9385.31,13335.7,10065,13232.1,9752.92,30253.3,8239.2,66380,1.14838e+06,2.24176e+06,808623,38923.1,14127,19629.8,5882.85,8871.75,5176.59,11814.3,15242.3,3959.66,3904.07,1855.37,5295.34
10.402539683,4397.58,1798.91,7149.6,7689.66,441.879,6965.43,19374.2,4502.1,19666.7,6250.6,11878.5,37230.9,18617.7,2258.25,12730.3,5987.2,3189.86,19091.3,6659.63,5516.75,6283.69,1942.31,12326.6,5158.91,1282.34,1643.3,701.433,567.527,172.211,2385.94,2688.17,1764,10601,70242.6,92310.1,15071.4,2545.41,1885.2,1574.33,59.0983,2290.37,2125.6,6739.1,949.545,7346.3,12778.3,1085.04,7807.78,5141.12,6917.33,16513.2,1270.62,9968.96,7431.16,5036.96,12671.1,33432.2,10520.9,3422.41,18014.5,6195.29,16790.9,4755.11,245.415,6432.6,5443.79,1374.84,3261.96,3298.26,10381.9,13983.6,6830.64,10431,5814.72,32458.8,6579.39,57429.3,1.32483e+06,3.3725e+06,1.06198e+06,55951,14519.3,22511,6872.04,8445.87,3725.27,12531.4,12768.4,1135.87,2259.86,746.094,4450.27,5198.73,10.9848,6759.63,18537.5,4397.65,29094.8,7194.09,17718.2,34268.8,14411.3,2912.11,11430.6,6527.56,8699.8,25964.7,4126.93,3927.61,2529.05,946.019,7464.6,4003.63,2742.27,929.074,522.209,554.252,1699,4538.87,2135.87,2283.76,17074.3,191235,194164,24321.3,5235.94,2173.86,1222.1,620.349,3209.01,1971.53,12515.2,2840.65,8569.34,17592.4,1852.45,11227.3,3171.22,5182.72,8943.89,353.806,9030.06,9627.4,2974.19,16940.5,19316.7,3180.31,804.911,8869.41,6881.24,15428.3,6320.88,886.782,7800.65,5520.66,2330.99,3551.74,3737.84,5436.02,7477.97,5144.33,6738.21,5228.41,25605.4,8840.7,47457.5,1.14983e+06,2.5431e+06,714262,42207,17480.1,12704.2,3668.79,4957.69,1908.47,8070.76,10971.7,1688.18,1937.57,907.901,3942.18
11.888616780,1586.41,502.605,4283.21,5559.4,131.835,3562.15,15621.2,313.486,21008.4,8752.09,11410.5,40294,17498.9,3777.39,14335.5,6712.97,3713.78,17071.3,3543.19,3040.79,3631.65,408.6,9388.66,3345.19,515.533,912.946,258.039,751.591,428.035,2484,1921.31,799.531,6432.8,64965.6,89148.5,10360.2,1893.29,2211.26,1516.13,183.628,1499.3,656.757,4521.06,591.85,5816.28,10679.3,133.714,5393.12,2674.34,3932.1,13558.6,865.005,9632.35,11079.7,4893.21,15623.2,33674.1,7126.99,4382.96,15780.4,1693.57,13010.5,2202.43,80.5544,4689.18,3062.01,475.722,1604,1337.27,6738.25,6515.98,1893.61,4390.54,2145.05,22795.7,25837.1,36806.4,1.22238e+06,3.69723e+06,853613,58070.1,29075.3,11167,2748.85,4094.79,1081.09,7877.94,9272.71,140.185,805.897,627.097,3859.35,4133.8,92.5524,5324.6,16367.3,752.121,30048.7,11304.7,16154.6,37763.6,13618.1,4401.22,14613,6139.62,8200.89,22448.8,2148.86,2672.51,1541.83,344.158,6199.23,1881.27,1600.35,498.453,235.39,1083.9,2533.92,5554.52,2846.3,3261.45,7151.83,186669,203988,16081.7,4503,2312.28,1728.13,1716.37,2441.04,662.189,9713.95,2450.39,7134.33,12832.3,23.5217,7898.15,1489.39,3455.5,7429.94,414.632,9436.39,11551,4461.69,17255.9,20187.1,1771,1594.42,7776.94,2520.47,9190.77,3250.19,39.9291,4869.38,2210.14,1157.34,2038.12,1826.71,3203.9,2861.31,1968.87,2865.01,2930.33,20336.7,25593.8,27716,1.10521e+06,2.73723e+06,544715,57064.2,31828.5,7243.61,1666.13,2695.14,568.453,5103.17,7104.89,590.993,750.861,963.227,3443.38
