TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.182675737,0.581952,1.88441,1.4339,0.015073,0.0159262,1.7065,0.406762,0.0373672,0.969865,1.00543,0.010715,0.173439
2.229115646,0.399849,1.81096,1.431,0.0465445,0.015145,1.66549,0.123471,0.104028,0.591609,1.21886,0.0521628,0.291779
2.275555556,0.407581,1.70982,1.06397,0.0148578,0.0121041,1.51037,0,0.38219,0.708966,0.951565,0.0287425,0.560819
2.321995465,0.792944,2.13752,0.653631,0.0310484,0.0143532,1.23285,0.372218,0.536436,0.502553,0.97738,0.0262867,0.496726
2.368435374,0.944967,2.15416,0.650232,0.25649,0.047115,1.21622,0.580202,0.563033,0.111573,1.25712,0.0940759,0.209768
2.414875283,0.456898,1.99737,0.65093,0.320124,0.0364381,1.45434,0.340319,0.594117,0.236274,1.11837,0.148704,0.487868
2.461315193,0.248175,1.65784,0.419674,0.274495,0.0225129,1.55342,0.248139,0.604707,0.280815,0.723015,0.197686,1.06179
2.507755102,0.285084,1.6158,0.258398,0.188444,0.0582902,1.55186,0.0889298,0.831052,0.229623,0.693058,0.0678486,1.00256
2.554195011,0.623887,1.63056,0.332016,0.0258905,0.108117,1.35162,0.085541,0.683526,0.786075,0.616093,0,0.654749
2.600634921,1.05388,1.44941,0.308503,0,0.101411,1.33614,0.100064,0.265516,1.26029,0.629686,0,0.433682
2.647074830,1.24665,1.40263,0.849458,0.0390813,0.0604129,1.49256,0.466572,0.0204473,1.21636,0.644056,0.00573906,0.35016
2.693514739,1.01729,1.46676,1.16964,0.000944475,0,1.53422,0.679174,0.110215,1.21992,0.615227,0.069296,0.351757
2.739954649,0.80706,0.775335,1.2487,0,0.00567181,1.19879,1.43792,0.0143411,0.993462,0.23425,0.236317,0.548245
2.786394558,0.394004,0.27504,0.749057,0,0.0729756,0.156275,1.58674,0.98459,0.355109,0.0115997,0.15897,0.669658
2.832834467,0.204758,0.259849,0.736093,0.00128969,0.0552291,0.444514,0.845644,1.76986,0.408456,0.0283383,0.145228,1.10864
2.879274376,0.189686,0.532991,0.652946,0.146312,0.0453468,0.521879,0.408845,1.99123,0.639206,0,0.000341458,1.15299
2.925714286,0.152358,0.319892,0.621701,0.24718,0.0198143,0.427283,0.100725,1.73527,1.15756,0.740349,0.0109927,0.96988
2.972154195,0.438437,0.252123,1.08204,0.240892,0.0343752,0.314772,0.761809,0.485546,1.22931,0.72554,0.109861,1.67697
3.018594104,0.558238,0.283571,0.856815,0.278373,0.032652,0.0147181,1.13206,0.00432989,1.0753,0.257468,0.07977,1.82726
3.065034014,0.599082,0.266442,0.360537,0.212041,0.03167,0.225538,1.04586,0.0441548,0.603283,0.475618,0.123712,1.74383
3.111473923,0.563849,0.264009,0.282207,0.397383,0.418435,0.321911,1.21748,0.021111,0.243253,0.553127,0.0503604,1.62373
3.157913832,0.548302,0.282859,0.296267,0.443795,0.772117,0.258283,1.18301,0.00551057,0.346124,0.809845,0.0628664,1.56653
3.204353741,0.336309,0.273272,0.313183,0.418807,0.859486,0.35816,1.22924,0.0541346,0.567337,0.890603,0.0515928,1.41722
3.250793651,0.153197,0.260029,0.404583,0.55177,1.02136,0.538736,1.21126,0.110515,0.572632,1.06609,0.0232127,1.46356
3.297233560,0.0671417,0.55511,1.2112,0.519398,0.608089,0.351558,0.918847,0.112753,1.02178,0.922492,0,1.27666
3.343673469,0.0107263,0.869325,1.95986,0.355436,0.444494,0.00776945,0.640867,0.185123,1.04168,0.329131,0.0148568,0.974995
3.390113379,0,0.599086,1.96556,0.532582,0.097671,0.0137898,0.313351,0.177205,0.990925,0.326451,0.030745,1.17817
3.436553288,0.14478,0.215559,1.87882,0.363726,0.263067,0,0.0481182,0.181473,1.2072,0.260803,0.0468783,1.31227
3.482993197,0.382045,0.0710149,1.0098,1.32206,0.822639,0.608103,1.29976,0.0621171,0.573028,0.217339,0.155423,1.59657
3.529433107,0.0832281,0.878079,0.152265,0.0513732,0.480606,0.414496,2.43769,0.10262,0.103018,0.0907203,0.405836,0.651479
3.575873016,0.292837,0.957156,0.267627,0.00360712,0.452298,0.292176,2.37578,0.116308,0.00428888,0.0981157,0.20057,0.623764
3.622312925,0.377868,0.894829,0.344254,0.194691,0.447569,0.235308,2.34809,0.0737494,0.00449246,0.0636225,0.259505,0.650714
3.668752834,0.00727708,0.918922,0.302494,0.234126,0.382898,0.142061,2.38127,0.255362,0.307999,0.145465,0.789959,0.769195
3.715192744,0.255078,0.544589,0.273729,0.163373,0.00898203,0.161722,2.77326,0.301864,0.172377,0.542427,1.35789,0.725713
3.761632653,0.420608,0.318802,0.248286,0.272996,0.000932578,0.33895,2.40748,0.210077,0.280584,0.672714,1.50743,0.922948
3.808072562,0.47043,0.224318,0.00588213,0.210716,0.313689,0.452885,1.36188,0.319207,0.983764,1.21562,1.38799,0.531951
3.854512472,0.438516,0.000725245,0.00489283,0.33811,0.397976,0.503544,1.0365,0.105037,2.11976,1.26635,0.772692,0.417622
3.900952381,0.589662,0.000266754,0.176438,0.17498,0.71685,0.359417,0.720468,0.0447788,2.76971,0.666685,0.110778,0.129409
3.947392290,1.16946,0.000704848,0.846069,0.325023,0.368115,0.135828,0.271339,0.00273343,2.77131,0.449054,0.177657,0.775047
3.993832200,1.11541,0.0743996,1.03567,0.351677,0,0.18752,0.214336,0.00753324,2.82071,0.251588,0.160206,0.903502
4.040272109,1.02908,0.10729,0.865479,0.52626,0.0178404,0.101427,0.496201,0.200639,2.92032,0.0939823,0.0978546,0.872212
4.086712018,0.251869,0.0738546,0.355015,0.636879,0.0340223,0.0983255,0.990165,0.415943,1.8636,0.0381231,0.187332,1.90586
4.133151927,0.361953,0.00921656,0.131837,0.30107,0.275291,0.0695966,0.992296,0.433113,1.11851,0.0620406,0.702106,2.06631
4.179591837,0.448112,0.169844,0.205328,0.0383721,0.3336,0.0715423,1.06446,0.191698,0.52933,0.0813598,0.835501,2.05102
4.226031746,0.0849579,0.551503,0.223581,0.0746498,0.0586566,0.0849105,1.2281,0.0164442,0.53863,0.119511,0.742132,2.28531
4.272471655,0.130057,0.376467,0.236524,0.280646,0.580573,0.0828833,1.21173,0.023309,0.493921,0.255754,0.592044,2.12115
4.318911565,0.0296415,0.358297,0.239759,0.292375,0.980758,0.671356,0.559388,0.0986171,0.579902,0.320574,0.436738,1.80198
4.365351474,0.0357279,0.337836,0.376327,0.0789057,1.14005,1.41363,0,0.0919121,0.595529,0.217365,0.0909247,1.73145
4.411791383,0.163952,0.267454,0.252246,0.163554,0.917868,1.69768,0.0549231,0.0033483,0.533099,0.192405,0.188048,1.19252
4.458231293,0.185236,0.335528,1.03358,0.163086,0.447878,1.31552,0.139947,0,0.612518,0.317151,0.0930194,0.874008
4.504671202,0.123575,0.537112,1.29396,0.397395,0.617977,0.953476,0.0300767,0.186238,0.966164,0.291648,0.0352295,0.601456
4.551111111,0.177329,0.653888,1.5384,0.507124,0.332575,0.273206,0.141101,0.358131,1.18424,0.410308,0.0672176,0.349757
4.597551020,0.224283,0.59051,1.3251,0.789861,0.115517,1.01436,0.866011,0.320662,0.30517,0.504689,0,0.148402
4.643990930,0.199105,0.39193,0.990075,1.05732,0.258173,1.48285,0.821528,0.0785694,0.28099,0.490085,0,0.194257
4.690430839,0.122276,0.381474,0.883251,1.07757,0.489444,1.05749,0.84016,0.394136,0.22539,0.603582,0.459348,0.0634792
4.736870748,0,0.380457,1.38647,1.02848,0.535206,0.648807,0.479021,0.830999,0.13223,0.380525,0.589222,0.0203925
4.783310658,0,0.665403,1.63728,0.66827,0.305443,0.32425,0.0865053,1.16974,0,0.598702,0.67398,0.235221
4.829750567,0.127812,0.988044,1.49233,0.0676538,0.0684086,0.418129,0.216249,0.685316,0,1.00703,0.166635,0.927323
4.876190476,0.223707,1.67232,0.691268,0.7546,0.522191,0.317215,0.17782,0.264421,0.297642,0.655906,0.124566,0.681194
4.922630385,0.171471,0.919996,1.2595,0.749937,0.521286,0.909853,0.0824313,0.229489,1.30321,0.193993,0.551454,0.708847
4.969070295,0.126987,0.294852,0.873309,2.62783,0.47201,0.500087,0.0842501,0.387531,1.0657,0.189685,0.936684,0.222705
5.015510204,0.161979,0.0696727,0.476038,2.91258,0.1383,0.243431,0.411571,0.501304,0.760482,0.00978713,0.985028,0.242401
5.061950113,0.146798,0.0177616,0.324581,2.76283,0,0.180502,0.546488,0.496286,0.490991,0.20589,0.485619,0.264431
5.108390023,0.167672,0.0105461,0.365003,2.38183,0,0.331327,0.757941,0.397454,0.144279,0.813364,0.129023,0.2842
5.154829932,0.160509,0.135756,0.62857,1.78396,0,0.745944,0.644686,0.0463685,0.154487,0.71799,0.0797438,0.45157
5.201269841,0.055549,0.683247,0.776534,1.42993,0.0460556,1.096,0.15548,0.0360305,0.541125,0.450174,0.0686052,0.510186
5.247709751,0.198652,1.63404,0.988158,0.917075,0.108882,0.790013,0.0453413,0,0.981955,0.388557,0.167406,0.544527
5.294149660,2.73502e-05,2.4222,0.258909,1.20121,0.153967,0.681947,0.00691667,0.234851,1.0177,0.442473,0.253036,0.666526
5.340589569,0.372696,2.09397,0.123814,1.41744,0.409066,0.812443,0.0197634,0.193544,1.09244,0.223267,0.184614,0.705385
5.387029478,0,0.545551,0.555626,2.76002,0.488189,0.328607,0.0691504,0.0229305,1.15665,1.08221,0.288719,0.429046
5.433469388,0,0.422077,0.477895,3.10503,0.295135,0.140496,0.0600416,0.0493896,0.448587,1.32681,0.615888,0.453322
5.479909297,0.000271261,0.345182,0.248645,3.03709,0.0425123,0.0346874,0.0382297,0.181805,0.526789,1.56083,0.91784,0.248431
5.526349206,0.000561781,0.285128,0.190882,2.85066,0.438444,0.0353659,0.127498,0.183789,0.469515,1.32442,1.06927,0.10728
5.572789116,0.000583384,0.260457,0.227364,2.78441,0.551741,0.0344385,0.0973038,0.141386,0.461743,1.13832,0.728429,0.40088
5.619229025,0.126284,0.26974,0.880076,2.18939,0.502073,0.0268665,0.0774092,0.0418711,0.828497,0.890473,0.105431,0.484459
5.665668934,0.479236,0.423253,0.47679,1.63986,0.200229,0.248914,0.178384,0.183811,1.4556,0.620124,0.062497,1.04041
5.712108844,0.191588,0.308944,0.304197,1.77454,0.0089395,0.392861,0.40509,0.0981504,1.57197,0.691048,0,1.27524
5.758548753,0.282356,0.587074,0.400279,1.74448,0.0173531,0.287584,0.508176,0.0215898,0.86303,0.657485,0.280018,1.33163
5.804988662,0.180446,0.228101,0.208528,1.69484,0.00748714,0.432802,0.881742,0.589191,0.603678,0.501788,0.258288,1.25067
5.851428571,0.648234,0.25353,0.301545,1.73315,0,0.332301,1.57987,0.653665,0.228408,0.319026,0,0.439133
5.897868481,0.938474,0.625654,0.112935,1.1479,0,0.186875,1.86116,0.547324,0.279738,0.321927,0.169575,0.407168
5.944308390,1.19273,0.623942,0.0610596,0.92655,0,0.306854,2.16307,0.256418,0.499737,0.323696,0.175456,0.328356
5.990748299,1.15916,0.537314,0.118709,1.33325,0,0.45852,2.26342,0.400943,0.546005,0.408528,0.559425,0.297725
6.037188209,0.810803,0.274389,0.328383,1.65249,0.666088,0.802843,1.13956,0.40627,0.609415,0.800656,0.693189,0.323992
6.083628118,0.639828,0.311251,0.234277,0.76497,1.26363,1.55505,0.29761,0.434997,0.146059,0.247195,0.898724,0.234614
6.130068027,0.453289,0.849305,0.206413,0.882847,0.744688,1.62835,0.0855255,0.838992,0.164427,0.302455,0.616399,0.175959
6.176507937,0.364407,1.17807,0.07167,1.32969,0.407105,1.47187,0.15969,0.67318,0.0664335,0.82778,0.0795058,0.25398
6.222947846,0.0623918,1.25843,0.0903014,1.49979,0.283926,1.09321,0.224932,0.311912,0.472508,1.48697,0.802188,0.216057
6.269387755,0.000667624,0.587624,0.203277,0.920203,0.0281014,0.647077,0.199362,0.199431,0.828029,1.44288,1.34215,0.326113
6.315827664,0.000600149,0.512517,0.529779,0.168847,0.00675227,0.515751,0.0211091,0.221297,1.00143,0.689685,1.39773,0.733135
6.362267574,0.000588755,0.434784,0.547121,0.549226,0.180612,0.350917,0.00297815,0.251502,1.11587,0.0546513,1.51138,0.756334
6.408707483,0.033244,0.230201,0.232588,0.813139,0.381372,0.176244,0.00596958,0.251298,1.19376,0.162836,1.56612,0.639941
6.455147392,0.419143,0.328994,0.331179,1.0139,0.340327,0.0226599,0.134554,0.357837,1.19536,0.645159,1.09015,0.245935
6.501587302,0.476755,0.369226,0.290552,0.914697,0.282705,0.0217978,0.644926,0.400852,1.00986,0.551877,1.13646,0.257137
6.548027211,0.473054,1.97912,0.725978,0.698044,0.0243194,0.281078,0.197408,0.187489,0.522069,0.190461,0.28626,0.148936
6.594467120,0.243136,2.33238,0.926749,0.385873,0.618835,0.0328869,0.079925,0.632999,0.852499,0.374832,0.00228497,0.355146
6.640907029,0.223192,2.17468,0.942896,0.251169,0.701909,0.105929,0.147869,1.11537,0.785223,0.656712,0.0537473,0.327919
6.687346939,0.145219,1.95024,0.857477,0.333036,0.716166,0.120776,0,1.85805,0.56113,0.73291,0.0679895,0.263564
6.733786848,0.151554,1.3069,0.666976,0.241167,0.704346,0.107079,0.159914,2.70962,0.153107,0.521356,0.0996027,0.834699
6.780226757,0.572581,0.156159,0.504339,0.0704757,0.728969,0.128812,0.221158,2.71711,0.0491107,0.5223,0.0822836,1.47598
6.826666667,0.241086,0,1.21643,0.0470978,0.937537,0.0299917,0.0139368,2.74947,0.0908648,1.156,0.113058,1.35865
6.873106576,0,0.0118363,2.49038,0.372054,1.03968,0.151806,0,2.14845,0.0421886,0.971252,0,0.35402
6.919546485,0,0.0281224,2.69758,0.46486,0.939073,0.270738,0.00117363,1.79596,0.0265678,0.706937,0,0.170302
6.965986395,0.0396511,0.0190679,2.4803,0.466812,0.679404,0.2717,0.0219179,1.81645,0.0491526,0.92672,0,0.141418
7.012426304,0.0210604,0.160799,1.90863,0.385095,0.480221,0.375508,0.0383528,1.43023,0.0633142,1.08056,0.105109,0.440102
7.058866213,0,0.428076,1.35666,0.359764,0.525633,0.533455,0.0498318,1.24392,0.166237,1.43253,0.306253,0.676755
7.105306122,0,0.478727,0.131502,0.987328,0.460483,0.727768,0.0496985,1.14307,0.206639,1.95046,0.425052,0.919342
7.151746032,0,0.706515,0.16257,0.870558,0.467654,1.03978,0.0308081,0.718846,0.281321,1.88151,0.595675,0.60346
7.198185941,0,0.818436,0.0188126,0.776218,0.460514,1.35255,0.00441025,0.476786,0.270899,1.48621,1.44666,0.375752
7.244625850,0.110981,0.657551,0.402933,0.391107,0.378479,1.48655,0.0177936,0.434218,0.150516,0.571974,2.15568,0.21647
7.291065760,0.11345,0.214853,0.647777,0.276835,0.469069,0.858575,0.0436204,1.44015,0,0.254517,2.5473,0.0181397
7.337505669,0.247338,0.0256151,1.24811,0.28771,0.513178,0.41043,0.0776286,2.03136,0,0.21068,2.39968,0
7.383945578,0.135367,0,1.49715,0.25206,0.656713,0.135446,0.0896413,2.28913,0,0.183266,2.56476,0
7.430385488,0.0691407,0,1.30373,0.291375,0.852262,0.145832,0.0599258,2.44819,0,0.0607893,2.19605,0.799252
7.476825397,0.059893,0.000169928,0.828959,0.658587,1.33945,0.0268403,0.0417351,2.43791,0,0.0840976,1.206,1.37138
