TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.229115646,0.307934,1.5283,0.520136,0.488298,0.924775,0.533041,0.0289731,0.45953,0.222991,0.452067,1.79374,0.280914
2.275555556,0.567285,1.71627,0.668198,0.00825994,0.789924,1.18312,0.520112,0.255948,0.0627831,0.220883,0.980932,0.0372151
2.321995465,0.0853033,1.82152,0.706357,0,0.530281,1.06454,1.82086,0.362079,0.0519422,0.0156458,0.533236,0.0133635
2.368435374,0.0339452,0.359675,1.73798,0,0.0976931,0.910204,1.6652,1.70475,0.0396656,0.0137864,0.188979,0.489066
2.414875283,0.0164571,0.145168,1.58988,0.123667,0.0261491,0.875752,1.20639,2.82536,9.76342e-06,0.0121658,0.017932,0.565418
2.461315193,0.0255381,0.107441,1.49805,0.0948931,0.0227551,0.45544,0.658471,3.4789,5.29098e-05,0.0115962,0.120481,0.557108
2.507755102,0.105294,0.117963,1.36876,0,0.026586,0.266326,0.357183,3.73682,0,0.0109784,0.138157,0.424194
2.554195011,0.308292,0.553571,1.21946,0.00791194,0.26555,0.15234,0.00514267,3.51686,0.00395162,0.00974875,0.176024,0.47356
2.600634921,0.4373,0.708392,0.946884,0.982308,0.606645,0.16236,0.374943,2.49565,0.0675727,0.0645983,0.488785,0.153734
2.647074830,1.22374,0.867411,0.00161838,1.30616,0.307507,0.208885,1.17432,1.18618,0.0973922,0.241706,0.672384,0.054017
2.693514739,1.2,1.07411,0.00190841,1.34591,0.212417,0.534418,1.63828,0.981063,0.106424,0.323362,0.458676,0.119593
2.739954649,1.11561,0.908713,0.00302251,1.32986,0.18683,0.831507,1.82447,0.925265,0.125641,0.365081,0.317221,0.0580348
2.786394558,1.05791,0.95215,0.0818889,1.25738,0.171782,1.00431,1.88938,0.724334,0.0767041,0.434474,0.167443,0.00756404
2.832834467,1.34169,0.811671,0.219767,1.09364,0.0194845,1.00056,2.06297,0.566917,0.0704096,0.655713,0,0.000382724
2.879274376,1.17441,0.881052,0.300915,0.491128,0.0183276,1.13339,1.26455,0.102198,0.0509811,0.971479,0.177509,0.0654821
