TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.00413706,0.00611996,0.198696,0.857277,0.92141,0.176105,0.0024478,0.00212506,0.00134358,0.0117532,0.180813,0.121033,0.00251028,0.00620323,0.0132425,0.00885354,0.0876059,0.35425,0.31763,0.036032,0.00297864,0.00338425,0.00113266,0.0145626,0.0710106,0.0120301,0.00215194,0.000890026,0.00371484,0.0266486,0.705748,1.63873,0.756538,0.0114831,0.00137218,0.000389533,0.00192748,0.00555283,0.0707526,0.0167542,0.00293573,0.00496708,0.0030264,0.0290678,0.306934,0.373745,0.0833249,0.00341332,0.0113007,0.00872374,0.00157761,0.0824988,0.166845,0.00813822,0.000842374,0.00196533,0.00130331,0.216174,1.047,0.92263,0.156928,0.00651223,0.00517238,0.00245225,0.00342187,0.0906609,0.0536391,0.00245619,0.0170091,0.0168732,0.00249074,0.0528133,0.28248,0.246328,0.0168364,0.00174702,0.0059968,0.000162943,0.00724073,0.0214272,0.00650686
1.486077098,0.00599785,0.00644079,0.199629,0.890134,0.936698,0.17709,0.00259131,0.00338055,0.00152971,0.0117575,0.188454,0.128254,0.00285555,0.00650896,0.0135023,0.00920821,0.0926821,0.368585,0.330397,0.0371492,0.00297864,0.00338425,0.00181717,0.015196,0.0803468,0.0157772,0.00231912,0.0014734,0.00424102,0.0287631,0.711801,1.69167,0.769479,0.0121252,0.00162229,0.000618681,0.00609427,0.00699783,0.0708067,0.0167559,0.00293845,0.00567851,0.0032758,0.0292007,0.309695,0.375823,0.083521,0.0034173,0.0127068,0.0088544,0.00239516,0.0872684,0.184304,0.0109327,0.00102771,0.00196533,0.00135135,0.218435,1.06136,0.934881,0.158687,0.00655635,0.00517292,0.00254819,0.00526662,0.108935,0.0552579,0.00250778,0.0171435,0.0184364,0.00267513,0.0536346,0.292448,0.254875,0.0169612,0.00177853,0.00629328,0.000172554,0.00735115,0.0252884,0.00711047
2.972154195,0.00701903,0.00664034,0.200478,0.918318,1.01002,0.21206,0.00524784,0.00338055,0.00152971,0.0199245,0.250286,0.162322,0.0085423,0.00776933,0.0135023,0.00920821,0.0942332,0.415283,0.400728,0.0601438,0.00297864,0.00338425,0.00181717,0.015196,0.0803468,0.0208617,0.00508331,0.00282075,0.015937,0.0360513,0.727343,1.73197,0.809455,0.0249184,0.0062586,0.00167718,0.00636305,0.0196652,0.112828,0.0356538,0.00456633,0.00662689,0.00400903,0.0318393,0.335044,0.402907,0.0899213,0.00417969,0.0127068,0.0091843,0.00243543,0.113273,0.225766,0.0268888,0.00184667,0.00273728,0.00171944,0.223801,1.09461,0.95421,0.162614,0.00877218,0.0155348,0.00623965,0.00526662,0.121739,0.0766231,0.00967998,0.0171435,0.0184364,0.00304607,0.0647554,0.316692,0.271246,0.0175424,0.00382507,0.00882799,0.000451506,0.00735115,0.025437,0.00746956
4.458231293,0.011299,0.00664034,0.206186,0.943461,1.03892,0.2151,0.00524784,0.00338055,0.00152971,0.0475402,0.318313,0.186616,0.0085423,0.00776933,0.0135023,0.00920821,0.0956808,0.431518,0.421489,0.0633847,0.00297864,0.00338425,0.00181717,0.021112,0.0938967,0.0233372,0.00508331,0.00282075,0.015937,0.0360513,0.8083,1.91524,0.853597,0.0249184,0.0062586,0.00167718,0.00636305,0.0196652,0.112828,0.0356538,0.00456633,0.00662689,0.00400903,0.0505477,0.391652,0.440375,0.0902187,0.00417969,0.0127068,0.0091843,0.00243543,0.178717,0.39515,0.095016,0.00184667,0.00273728,0.00171944,0.233186,1.12247,0.975647,0.16964,0.00877218,0.0155348,0.00623965,0.0103647,0.136748,0.0857214,0.00967998,0.0171435,0.0184364,0.00304607,0.0653124,0.332314,0.295616,0.0257281,0.00382507,0.00882799,0.000451506,0.0116672,0.0366436,0.0120374
5.944308390,0.011299,0.00889583,0.217732,0.953974,1.0397,0.2151,0.00524784,0.00427563,0.00680865,0.0556022,0.328692,0.194015,0.0085423,0.00796707,0.014489,0.0110711,0.106392,0.438151,0.42155,0.0633847,0.00297864,0.00914465,0.0140735,0.0454605,0.124259,0.0233372,0.00509396,0.00479781,0.0182527,0.0398788,0.822601,1.91666,0.855182,0.0249184,0.0127702,0.0292973,0.0176757,0.0208774,0.115693,0.0357261,0.00676315,0.0153957,0.00474847,0.0508366,0.393701,0.445678,0.0933861,0.00417969,0.0132161,0.0094615,0.00245769,0.183943,0.400769,0.0952711,0.00323913,0.00578793,0.00171944,0.235325,1.13651,1.0025,0.173813,0.00877218,0.0155348,0.00623965,0.0162942,0.159406,0.0863047,0.00968882,0.0172069,0.0184426,0.00304607,0.0662005,0.363034,0.334818,0.0328253,0.00382507,0.00882799,0.000451506,0.012131,0.036701,0.0120386
7.430385488,0.0265132,0.0096742,0.217739,0.955711,1.04883,0.224507,0.0056871,0.00427563,0.00690688,0.0585608,0.341262,0.216252,0.0181453,0.00904733,0.0144927,0.0123206,0.1085,0.441199,0.428333,0.0695503,0.00354351,0.00926453,0.0141643,0.0481446,0.126765,0.0244901,0.0074522,0.00548937,0.0182889,0.0433413,0.82826,1.92024,0.858883,0.0260525,0.0138113,0.0294296,0.0183976,0.0231992,0.117857,0.0392223,0.0094562,0.0154089,0.00474847,0.0516214,0.399019,0.453928,0.0934667,0.00488302,0.0137677,0.0094778,0.00729506,0.195768,0.405085,0.0975909,0.00521003,0.00677428,0.00699621,0.239378,1.13946,1.00449,0.174561,0.00963091,0.0199633,0.00917002,0.0192945,0.162829,0.0888696,0.0118537,0.019693,0.0210991,0.00330691,0.0680855,0.365735,0.336911,0.0386065,0.0113369,0.00955136,0.000565856,0.013991,0.0420083,0.021688
8.916462585,0.0265132,0.0096742,0.221666,1.03121,1.12152,0.249737,0.00828577,0.00427563,0.00690688,0.0585608,0.343037,0.227866,0.0286531,0.0103615,0.0146155,0.0129766,0.121726,0.467209,0.448701,0.0795895,0.00537109,0.00926453,0.0141643,0.0481446,0.126941,0.0248212,0.00765542,0.00549507,0.0189594,0.0596459,0.90492,1.96507,0.867649,0.0307316,0.0140466,0.0294816,0.0193751,0.0237319,0.119804,0.0474495,0.0174629,0.017373,0.00476995,0.0516861,0.400521,0.45875,0.103856,0.0112741,0.0140876,0.0094778,0.00729506,0.196364,0.405881,0.0977788,0.00522882,0.00677528,0.00771667,0.255332,1.19262,1.0411,0.182676,0.0100977,0.0199633,0.00922072,0.0211792,0.165334,0.0928332,0.019941,0.0251142,0.0213721,0.00337589,0.0693831,0.367129,0.337753,0.0386065,0.0113369,0.00955136,0.000565856,0.01404,0.0420112,0.0217505
10.402539683,0.0265132,0.0096742,0.221713,1.05795,1.3635,0.475453,0.042711,0.00427563,0.00690688,0.0597202,0.352689,0.249285,0.0347852,0.0103615,0.0146155,0.0129766,0.121726,0.511743,0.529592,0.111951,0.00537109,0.00926453,0.0141643,0.0481446,0.127063,0.0271931,0.00931301,0.00573546,0.0189594,0.0596459,0.926759,2.06673,0.995074,0.0703615,0.0171264,0.0294816,0.0193751,0.02433,0.129588,0.0790808,0.0230228,0.017373,0.00476995,0.0553306,0.420368,0.503014,0.134719,0.0158355,0.0140876,0.0094778,0.00729506,0.198335,0.4159,0.105009,0.0059866,0.00677528,0.0114413,0.290601,1.29175,1.20905,0.263297,0.0198067,0.0199633,0.00950943,0.0223227,0.165676,0.0931691,0.0203533,0.0251142,0.0213721,0.00337589,0.072015,0.425873,0.408252,0.0536555,0.0113369,0.00955136,0.000565856,0.0140704,0.0426929,0.0245937
11.888616780,0.0265132,0.0096742,0.25208,1.12914,1.41296,0.493058,0.0516551,0.00472837,0.00690688,0.0597671,0.370823,0.268082,0.0358735,0.0130392,0.0172587,0.0129766,0.122542,0.52571,0.545467,0.119056,0.00538116,0.00926453,0.0142542,0.0486168,0.127347,0.0303358,0.0119578,0.0061792,0.0189594,0.0597229,1.09271,2.5276,1.28837,0.0744613,0.0171444,0.0294816,0.0193751,0.02433,0.129588,0.0800469,0.023244,0.017373,0.00476995,0.0553306,0.438845,0.521522,0.14261,0.0222252,0.0140876,0.0094778,0.00815566,0.242098,0.465012,0.114007,0.0059866,0.00677528,0.0114413,0.315576,1.43348,1.383,0.309772,0.0311743,0.0199633,0.00950943,0.0252701,0.185649,0.124194,0.0203533,0.0251142,0.0213721,0.00337589,0.0720343,0.434013,0.423688,0.0593209,0.0113369,0.00955136,0.000565856,0.0146113,0.0596998,0.0320051
