"Track.URI","Track.Name","Album.Name","Artist.Name.s.","Release.Date","Duration..ms.","Popularity","Explicit","Added.By","Added.At","Genres","Record.Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","region","highlight"
"spotify:track:33zmZuUrpdbwgXL0U8ylIl","Hit 'Em Up - Single Version (Explicit)","2Pac Greatest Hits (Explicit Version)","2Pac;Outlawz","1998-11-24",312626,1,"true","warriorkid3000","2021-09-29T03:52:27Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","Digital",0.923,0.85,7,-4.026,1,0.248,0.0468,0,0.083,0.61,95.195,4,"west","no"
"spotify:track:13AvIMuWOBUWGBhWGIHb6N","Friday","Friday (Original Motion Picture Soundtrack)","Ice Cube","1995-04-11",229826,53,"true","warriorkid3000","2021-09-29T03:52:58Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop","FRONTLINE CATALOG (P81)",0.693,0.759,11,-4.184,1,0.0631,0.0694,4.39e-06,0.154,0.63,186.047,4,"west","no"
"spotify:track:7jIujRjK5JKNrMCcAvYUTN","Keep Their Heads Ringin'","Friday (Original Motion Picture Soundtrack)","Dr. Dre","1995-04-11",305573,66,"true","warriorkid3000","2021-09-29T03:53:02Z","old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap","FRONTLINE CATALOG (P81)",0.672,0.777,9,-4.238,0,0.0956,0.0379,0.00141,0.159,0.238,90.575,4,"west","no"
"spotify:track:53BZ6XygAoubR5DU5w38Vq","Real Muthaphuckkin' G's","Gangsta Memorial","Eazy-E","2007-01-01",332733,61,"true","warriorkid3000","2021-09-29T03:53:08Z","gangsterrap,old school hiphop,west coast hiphop,g funk","Priority Records",0.724,0.853,11,-3.895,0,0.283,0.0164,0,0.65,0.775,170.51,4,"west","no"
"spotify:track:2g9E9UyZ3pdJ1eqUQW0tfQ","Xxplosive","2001 (Explicit Version)","Dr. Dre;Hittman;Six-Two;Nate Dogg;Kurupt","1999-11-16",215266,0,"true","warriorkid3000","2021-09-29T03:53:20Z","old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap","Universal Music Group",0.767,0.881,1,-4.359,1,0.109,0.191,8.29e-06,0.139,0.939,169.049,4,"west","no"
"spotify:track:52IuMfbQa9aqRPz2oYPAI8","Express Yourself","Straight Outta Compton","N.W.A.","1988-08-08",265101,60,"true","warriorkid3000","2021-09-29T03:53:26Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.851,0.583,8,-11.022,0,0.286,0.0506,0,0.236,0.956,95.048,4,"west","no"
"spotify:track:2mpFm3f7QmdsVtSAIICEB7","Candy Shop","The Massacre","50 Cent;Olivia","2005-03-03",208533,0,"true","warriorkid3000","2021-09-29T03:54:01Z","old school hiphop,east coast hiphop","Interscope",0.609,0.588,7,-7.992,1,0.481,0.0305,0.000142,0.369,0.797,128.763,5,"west","no"
"spotify:track:5YGLiu7ebWcnqoghFBk3yy","Appetite For Destruction","The Best Of N.W.A: The Strength Of Street Knowledge","N.W.A.","2006-01-01",188573,0,"true","warriorkid3000","2021-09-29T03:54:27Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.83,0.795,7,-7.644,1,0.181,0.0348,1.08e-06,0.0864,0.402,105.525,4,"west","no"
"spotify:track:1kFyVRbMT4JJynQgTFWKZj","What You Wanna Do?","South Central Los Skanless","Kausion;Gonzoe","1995-06-01",250320,0,"true","warriorkid3000","2021-09-29T03:54:59Z","g funk,west coast hiphop,gangsterrap,old school hiphop","Blocwize Ent. / Rapbay / Urbanlife Music",0.822,0.81,1,-5,1,0.236,0.11,0,0.352,0.917,103.605,4,"west","no"
"spotify:track:6S1oHrwjeF66VRUl1b76P6","C-Walk","Kuruption!","Kurupt;Tray Dee;Slip Capone","1998-10-06",311666,51,"true","warriorkid3000","2021-09-29T03:55:04Z","g funk,west coast hiphop,gangsterrap,old school hiphop","A&M",0.913,0.444,0,-8.718,1,0.249,0.0281,4.17e-05,0.0626,0.628,94.984,4,"west","no"
