Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:3YAIOD20Mk64gNRYqf56k3,Waiting For The World To End,The Master,Rakim,1999-11-30,245026,49,TRUE,m-airon,2022-03-27T09:16:24Z,"east coast hiphop,old school hiphop,hiphop",Universal Records,0.795,0.58,10,-5.762,0,0.405,0.0735,7.33e-5,0.325,0.961,91.798,4,east
spotify:track:2KFg8kjYy0rYjWsXGhEQHN,Who Shot Ya? - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,319360,67,TRUE,warriorkid3000,2023-09-20T03:46:38Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.831,0.682,7,-5.697,1,0.238,0.256,0,0.494,0.6,91.771,4,east
spotify:track:7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,Life After Death (2014 Remastered Edition),The Notorious B.I.G.,1997-03-04,229826,83,TRUE,warriorkid3000,2024-09-27T04:33:39Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Rhino Atlantic,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4,east
spotify:track:2kEGpCg4Xj5LtVL4AWPJ8C,Fuckin' Wit' D,It's Dark And Hell Is Hot,DMX,1998-05-01,138026,46,TRUE,m-airon,2022-03-27T08:35:13Z,"east coast hiphop,old school hiphop,hardcore hiphop",Def Jam Recordings,0.88,0.796,2,-4.918,1,0.287,0.116,0,0.151,0.834,100.782,4,east
spotify:track:119c93MHjrDLJTApCVGpvx,C.R.E.A.M. (Cash Rules Everything Around Me),Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang Clan,1993-11-09,252026,74,TRUE,m-airon,2019-04-04T23:53:15Z,"old school hiphop,east coast hiphop,hiphop,gangsterrap,hardcore hiphop",RCA Records Label,0.512,0.514,11,-11.562,0,0.387,0.555,0.00958,0.126,0.565,181.033,4,east
spotify:track:094MWdspdy9amhOi8TFlIN,Get It On The Floor,Grand Champ,DMX;Swizz Beatz,2003-01-01,262133,58,TRUE,m-airon,2022-04-15T17:12:21Z,"east coast hiphop,old school hiphop,hardcore hiphop",RAL (Rush Associated Label),0.812,0.794,1,-3.075,1,0.155,0.163,0,0.131,0.572,94.198,4,east
spotify:track:4JYUDRtPZuVNi7FAnbHyux,"Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)",Flava In Ya Ear Remix,Craig Mack;Busta Rhymes;LL COOL J;Rampage;The Notorious B.I.G.,1994,302013,57,TRUE,m-airon,2024-10-24T08:07:10Z,"old school hiphop,east coast hiphop,gangsterrap,hiphop",Rhino Atlantic,0.52,0.847,9,-5.3,1,0.427,0.272,0,0.325,0.799,177.371,4,east
spotify:track:5LZ4d69L4TK8hVyh2q7YEJ,8 Iz Enuff,Lifestylez Ov Da Poor & Dangerous,Big L,1995-03-28,298840,45,TRUE,m-airon,2024-11-12T13:57:47Z,"east coast hiphop,old school hiphop,hardcore hiphop,boombap,hiphop",Columbia,0.844,0.459,8,-8.827,0,0.364,0.418,0.00816,0.112,0.394,96.019,4,east
spotify:track:65l5KYs1YMFplVybSvFZqZ,Lifes On The Line,Get Rich Or Die Tryin',50 Cent,2003-02-06,218480,49,TRUE,m-airon,2019-04-05T00:09:18Z,"old school hiphop,east coast hiphop",Shady Records,0.673,0.841,1,-5.191,1,0.341,0.00809,0,0.171,0.76,94.671,4,east
spotify:track:0SlljMy4uEgoVPCyavtcHH,Self Conscience - Dirty Version,Nas & Ill Will Records Presents Queensbridge the album,Prodigy;Nas,2000-11-06,195293,44,TRUE,m-airon,2022-04-13T11:31:58Z,"east coast hiphop,old school hiphop,hiphop",Columbia,0.829,0.614,1,-8.546,1,0.267,0.0666,8.5e-4,0.0975,0.496,90.924,4,east
