TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.229115646,0.163448,0.00157563,0.528333,2.2382,0.0177808,0.377764,0.237395,0.657994,0.113798,0.161237,0.994231,1.229
2.275555556,0.160818,0.00107626,0.861437,2.2019,0.0244634,0.594516,0.143672,0.918728,0.0874289,0.221704,0.973193,1.04291
2.321995465,0.154858,0.244314,1.2036,1.25931,0,0.679359,0,2.11281,0.114462,0.253465,0.400118,0.912384
2.368435374,0.527905,0.828059,1.17817,0.38608,0,0.776651,0.0215627,2.67893,0.205735,0.067934,0,0.741285
2.414875283,0.582092,1.5162,1.07193,0.324306,0.14416,0.897439,0.0298459,2.46929,0.211555,0,0,0.499433
2.461315193,0.707834,1.39169,0.649551,0.65704,0.295842,0.829969,0.299193,2.08452,0.330383,0,0,0.403959
2.507755102,0.768112,0.526805,1.26341,1.02853,0.553481,0.897815,0.543824,1.95576,0.368256,0.288749,0.0342759,0.0822894
2.554195011,0.1799,0.0820241,1.64961,0.639721,0.394642,0.669969,0.612372,2.54035,0.369511,0.0588923,0.24805,0.115861
2.600634921,0.381645,0.397592,0.941782,0.830465,0.0497603,0.0441216,0.510113,2.47332,0.0997468,0.491883,0.0299226,0.70831
2.647074830,0.188499,0.742227,0.327297,1.22706,0.228885,0.0456688,0.927068,2.03925,0.0845521,0.723022,0.237703,0.552509
2.693514739,0.306229,0.887853,0.261011,1.30904,0.221585,0.0696172,0.81109,0.737171,0.163195,0.831977,0.232989,0.268632
2.739954649,0.363799,1.38491,0.26719,1.19409,0.162324,0.069941,0.58252,0.880993,0.187419,0.695619,0.220381,0.0478411
2.786394558,0.312408,1.68677,0.22711,0.942434,0.117659,0.0596706,0.411823,1.78374,0.286946,0.256058,0.210259,0.100249
2.832834467,0.204078,1.40567,0.602808,0.527385,0.127187,0.0482666,0.0938655,2.19181,0.612859,0.110298,0.0891264,0.597845
2.879274376,0.175042,1.17487,0.927481,0.14074,0.250651,0.0579009,0.0783908,2.23045,0.377253,0.0667944,0.364549,0.913245
2.925714286,0.142792,0.733952,1.32237,0.408418,0.046389,0.0474297,0.100038,1.82245,0.0630341,0,0.841829,1.10726
2.972154195,0.0282722,0.138208,1.40707,0.492367,0,0.42868,0.169285,1.67335,0.106839,0,0.793462,1.15026
3.018594104,0,0.0488638,1.8847,0.220952,0,0.958693,0.190587,1.54198,0.132842,0.0262529,0.145374,1.08411
3.065034014,0,0.384444,1.97995,0.0949926,0.0538709,1.10104,0.237445,1.6506,0.134124,0,0.281654,1.03791
3.111473923,0,0.336619,1.87041,0.0274058,0.328725,0.975542,0.339979,1.92687,0.139966,0,0.942556,1.08459
3.157913832,0.0249384,1.05585,1.60613,0,0.315402,1.0346,0.356079,2.5218,0.108025,0.025932,0.986781,1.07751
3.204353741,0.0164721,1.55114,1.44666,0.0303446,0.206625,0.890608,0.0638457,3.61721,0.122792,0.0239733,0.589111,0.844641
3.250793651,0.218943,1.79758,1.2921,0.079415,0.0812061,0.0948417,0.1346,3.81432,0.0418925,0,0.322255,0.575009
3.297233560,0.273312,1.77792,0.982731,0.0861505,0.00138647,0.100414,0.338679,3.06863,0.253117,0.142467,0.624033,0.787238
3.343673469,0.307884,1.83522,1.03995,0.322703,0.000479888,0.0751803,0.0952082,2.73306,0.248188,0.348529,0.536405,0.975541
3.390113379,0.257804,2.0027,1.06665,0.204474,0.00277449,0.0690329,0.0673359,2.25113,0.13374,0.438306,0.208624,0.944516
3.436553288,0.220795,1.7468,1.01054,0.153892,0,0.184267,0.0570886,2.47512,0.129823,0.536974,0.000133826,0.757362
3.482993197,0.201559,1.37592,1.25225,0.0911811,0.124443,0.425384,0.0936607,2.55331,0.110233,0.0437494,0.0106488,0.411319
3.529433107,0.181833,1.2296,1.28047,0,0.0708274,0.538519,0.0908959,2.25282,0.079374,0,0.028639,0.834048
3.575873016,0.0996816,0.702357,1.30544,0.0822745,0.258623,0.721516,0.105622,1.95634,0.0930169,0.523121,0.0614518,0.858012
3.622312925,0.134667,0.465951,1.05711,0.168268,0.639047,0.97219,0.0915757,1.56033,0.118361,1.41963,0.072733,0.697003
3.668752834,0.114742,0.537642,1.37741,0.0677856,1.00616,1.13291,0.0277157,0.950435,0.129776,1.70409,0.159599,0.525826
3.715192744,0.0671742,0.572773,1.70586,0.0158038,1.16871,1.13784,0.0646285,0.649241,0.148202,1.83754,0.174203,0.64415
3.761632653,0,0.53803,1.74561,0.00535421,1.20737,0.625244,0.410738,0.770982,0.155535,1.51137,0.461681,0.701266
3.808072562,0.0397408,1.2009,1.17446,0.204277,1.2421,0.0873806,0.505521,2.32199,0.109131,0.5547,0.560075,0.796714
3.854512472,0.225006,1.95356,1.48282,0,0.177162,0.0958818,0.111888,3.55981,0.200294,0.147253,0.354992,0.77777
3.900952381,0.153159,2.08704,1.60878,0.0791361,0.015316,0.192499,0.0386486,3.71442,0.264399,0,0,0.286106
3.947392290,0.179627,2.18085,0.934423,0.100469,0.0760998,0.109846,0.0821526,3.23069,0.379071,0.119991,0.188776,0.435521
3.993832200,0.182751,2.37178,0.668578,0.17874,0.11045,0.0795357,0.107905,2.74617,0.222423,0.376112,0.25015,0.493142
4.040272109,0.238296,2.12775,0.723713,0.193445,0.0988715,0.0561747,0.0835809,2.32207,0.119,0.544668,0.255393,0.485734
4.086712018,0.522699,1.84937,0.911441,0.167352,0.0861555,0.085335,0.0644566,2.24094,0.124508,0.462919,0.258258,0.271464
4.133151927,0.455974,1.54223,1.28706,0.0931883,0.0499131,0.330703,0.0877788,2.26814,0.11028,0.0983528,0.139466,0.222875
4.179591837,0.194063,1.16108,1.4717,0.121598,0.0130112,0.621927,0.107012,2.27562,0.0903998,0,0.0719138,0.214176
4.226031746,0.0530243,0.327117,1.37624,0.233544,0,0.737896,0.252402,2.57488,0.0773877,0,0.0346757,0.557244
4.272471655,0.0136091,0.014264,0.986117,0.306682,0,0.911471,0.331174,2.51677,0.0965486,0,0,0.653765
4.318911565,0.102218,0,0.886208,0.235374,0.0107259,1.22827,0.391963,2.30205,0.81799,0.00836002,0.137882,0.661633
4.365351474,0.380132,0,0.850282,0.576566,0.402653,0.986215,0.590298,2.02279,0.767848,0.0914519,0.164376,0.875292
4.411791383,0.677509,0,0.791499,0.849166,0.456374,0.532678,0.472174,1.82541,0.507061,0.016285,0,1.07517
4.458231293,0.771969,0.519675,0.572576,0.96426,0.353212,0.1043,0.0778183,2.57697,0.258959,0.0466119,0,1.08831
4.504671202,0.550475,1.13228,0.783539,0.890833,0.174568,0.106097,0.265798,3.06153,0.223237,0,0.0438062,0.941486
4.551111111,0.232724,1.12765,1.07985,0.669357,0.0579835,0.113067,0.712348,2.70281,0.312436,0,0.243768,0.886278
4.597551020,0.294555,1.27899,0.775783,0.717871,0.075036,0.101698,0.358399,2.42196,0.394107,0,0.207575,0.929234
4.643990930,0.556307,1.77754,0.562794,0.393972,0.0438599,0.0614166,0.0577077,2.085,0.245933,0.0540618,0.135385,1.01978
4.690430839,0.991754,1.89712,0.580241,0.138349,0.0174342,0.0582466,0.0475972,1.66113,0.160556,0,0.0721763,0.752171
4.736870748,1.04916,1.56873,0.535786,0.142101,0,0.173739,0.0770474,1.97522,0.181356,0,0.0215313,0.370402
4.783310658,0.796411,1.38804,0.642121,0.0184532,0.000463627,0.459648,0.123098,2.53967,0.216507,0,0.0064512,0.0979236
4.829750567,0.561585,1.10884,0.807349,0.132847,0.000793142,0.392719,0.134211,2.45375,0.163242,0,0.0166422,0.133439
4.876190476,0.274051,0.226572,1.1972,0.211652,0,0.464082,0.169892,2.14367,0.0908358,0.0835185,0.051134,0.633257
4.922630385,0.125804,0.159248,1.26774,0.242958,0.0205083,0.798424,0.151012,1.78352,0.0836309,0.131023,0.0507899,0.979484
4.969070295,0.0313301,0.489559,1.38183,0.132714,0,1.09076,0.0803057,1.65978,0.0835805,0,0.0975192,1.20332
5.015510204,0.0259422,0.460493,1.47802,0.15338,0.102849,1.14939,0.377835,1.71249,0.0894948,0,0.601674,1.26674
5.061950113,0,0.793472,1.61576,0.117337,0.128672,1.04162,0.486221,2.14586,0.0980074,0,0.713444,1.14678
5.108390023,0.0178708,1.46875,1.22286,0.0872397,0,0.746643,0.0653235,3.25647,0.112145,0.0572164,0.618554,0.951839
5.154829932,0.171288,1.48412,1.41794,0.0173736,0.015828,0.347054,0.420555,3.5062,0.236381,0,0.543996,0.889309
5.201269841,0.121491,1.563,1.72962,0.290583,0.0122935,0.632399,0.220767,2.76648,0.481413,0,0.845622,0.678659
5.247709751,0.127642,1.51317,1.65762,0.413374,0.0490855,0.78088,0.0482831,1.98637,0.391242,0.128877,0.859101,1.159
5.294149660,0.164833,1.62568,1.29122,0.194761,0.0539847,0.965141,0.0214596,1.78878,0.245511,0.260899,0.674674,1.15829
5.340589569,0.204095,1.57682,1.09323,0.125584,0.0722719,0.921622,0.05759,1.87467,0.0944933,0.237804,0.292741,1.02523
5.387029478,0.201842,1.37609,0.787675,0.0794133,0.117114,0.744043,0.185571,2.1147,0.0534475,0,0.0332005,1.35102
5.433469388,0.129782,1.09791,0.487329,0,0.530644,0.377804,0.321546,2.19347,0.22473,0,0.0271098,1.47245
5.479909297,0.295344,0.497661,0.499102,0.0726546,0.838304,0.112676,0.6132,1.70517,0.233043,0,0.19026,1.53707
5.526349206,0.283122,0.112521,0.832014,0.637958,0.244546,0.898183,0.898815,1.28978,0.00427837,0.277553,0.0675435,1.83404
5.572789116,0.287486,0.0541167,0.9986,0.62003,0.0767423,0.755984,0.677794,1.76182,0.00345722,0.413034,0.238965,1.94297
5.619229025,0.176626,0.0667031,1.24809,0.281213,0.145777,0.587324,0.720276,2.13611,0.0722282,0.150894,0.31502,1.78864
5.665668934,0.0814502,0.260122,1.56207,0.148304,0.0721709,0.651424,0.941555,2.11572,0.0898547,0,0.355496,1.39565
5.712108844,0,0.838306,1.91363,0.0676973,0.188918,0.914338,0.380227,2.34094,0.0950147,0,0.616385,1.09438
5.758548753,0,1.5006,1.58656,0.0573906,0,1.04675,0.0218101,2.90945,0.103687,0,0.552331,0.850165
5.804988662,0,1.42108,1.52513,0.129356,0,0.90998,0.0134472,3.38399,0.197113,0,0.213823,0.866071
5.851428571,0.288856,1.35849,0.720721,0.399967,1.30937,0.335497,0.0262696,3.01864,0.22819,0.0543434,0.206102,0.433515
5.897868481,0.2881,1.02883,0.619833,1.84146,1.10367,0.408908,0.0561451,2.34494,0.135208,0.220253,0,0.601397
5.944308390,0.157612,0.297141,0.4515,2.60424,0.697609,0.362836,0.0671466,2.03772,0.0680494,0.173438,0.0569531,0.653417
5.990748299,0.837099,0.0133551,0.403736,2.67689,0.269803,0.522163,0.0598808,2.24012,0.143731,0.147904,0,0.869995
6.037188209,1.23687,0,0.312833,1.59794,0.0588242,0.948783,0.349121,2.40175,0.202646,0.0787154,0.0376283,1.22333
6.083628118,1.41721,0.208696,0.454485,0.325589,0.435586,0.780417,0.826237,2.00365,0.137729,0,0.170258,0.79288
6.130068027,1.49229,0.482163,0.544602,0.274833,0.398264,0.544062,0.874854,1.83706,0.0999762,0,0.00203094,0.541552
6.176507937,1.46904,0.488149,1.05746,0.246319,0.163664,0.629452,0.305992,2.30776,0.0927734,0,0,0.277783
6.222947846,1.45635,0.320828,1.34625,0.0667638,0,0.748927,0.0147893,2.35163,0.214453,0,0.0338263,0.389824
6.269387755,1.44485,0.228255,1.35174,0,0,0.769302,0.0137836,2.24266,0.292437,0,0.101681,0.869944
6.315827664,1.57965,0.163387,1.41989,0,0.00298044,0.645621,0.0159016,2.06545,0.335565,0,0.15399,1.04704
