Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2mehHNForRahnPueLQAgfv,"Next Level - Nyte Time Mix","Goodfellas","Showbiz & A.G.",1995-01-01,249933,47,true,m-airon,2024-10-16T13:01:55Z,"east coast hiphop,boombap,old school hiphop","Island Records",0.87,0.498,11,-12.095,0,0.29,0.000671,0.000389,0.0551,0.489,92.887,4
spotify:track:2El2AmJcz6trXPVeXamGYC,"What's Happenin'","Tical 0: The Prequel","Method Man;Busta Rhymes",2004-01-01,232253,54,true,m-airon,2019-04-04T23:58:22Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","Def Jam Recordings",0.73,0.899,2,-3.643,1,0.3,0.237,0,0.0995,0.757,109.129,4
spotify:track:3znH8Nl0xGyck7Cawbl14Y,"America's Most","How High","Method Man;Redman",2001-01-01,215533,34,true,m-airon,2022-03-27T08:31:53Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","RAL (Rush Associated Label)",0.573,0.904,11,-3.41,1,0.396,0.00492,0.00000184,0.182,0.892,187.682,4
spotify:track:2jpd11oy0FGFebu6BpKSse,"4,3,2,1","Phenomenon","LL COOL J;Method Man;Redman;DMX;Cannibus",1997-01-01,256626,49,true,m-airon,2022-03-27T20:37:31Z,"old school hiphop,east coast hiphop,hiphop,hardcore hiphop","Def Jam Recordings",0.68,0.764,6,-6.574,1,0.523,0.087,0,0.0978,0.789,99.309,4
spotify:track:3gkklhEyCpxAprP6mYc0jq,"Da Heatwave","E Double","Erick Sermon;50 Cent;N.O.R.E.",2018-06-10,243426,29,true,m-airon,2022-04-15T20:46:37Z,"east coast hiphop,old school hiphop,reggaeton","Def Squad",0.768,0.641,3,-8.177,1,0.464,0.171,0,0.148,0.88,92.679,4
spotify:track:2eOuL8KesslTLQERQPu11D,"Bad Boy for Life","The Saga Continues...","Diddy;Black Rob;Mark Curry",2001,253066,62,true,m-airon,2022-03-06T00:09:50Z,"hiphop,east coast hiphop,old school hiphop","Bad Boy Records",0.669,0.829,1,-3.801,1,0.49,0.179,0,0.241,0.61,118.934,4
spotify:track:5gHkG9liVCQksaArA7OlYi,"Crazy","God's Plan","50 Cent;DJ Whoo Kid",2006-10-10,106426,0,false,m-airon,2022-04-13T11:43:36Z,"old school hiphop,east coast hiphop","BCD Music Group",0.568,0.726,6,-9.144,0,0.468,0.0179,0,0.049,0.795,94.623,4
spotify:track:53oWwSxPuyH2cjYKXH8fgO,"Get Money","Conspiracy (PA)","Junior M.A.F.I.A.",1995-08-22,274937,60,true,m-airon,2019-04-05T00:49:07Z,"east coast hiphop","Big Beat Records",0.736,0.828,11,-5.835,0,0.284,0.477,0,0.251,0.899,91.224,4
spotify:track:3RmKpob8xzv1pzHEQrMJah,"Let Me Blow Ya Mind","Scorpion","Eve;Gwen Stefani",2001-03-06,230133,73,true,m-airon,2022-04-13T11:52:44Z,"","Ruff Ryders RECORDS",0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,4
spotify:track:4INDiWSKvqSKDEu7mh8HFz,"Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.;Mase;Diddy",1997-03-04,257399,74,true,m-airon,2022-04-18T21:14:56Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Rhino Atlantic",0.845,0.884,6,-4.506,0,0.0759,0.0128,0.0000021,0.203,0.904,104.536,4
spotify:track:7sJN693sYKEIEMu7fc5VnJ,"Whatta Man","Very Necessary","Salt-N-Pepa;En Vogue",1993-10-12,308360,65,false,m-airon,2022-04-29T05:31:21Z,"old school hiphop,new jack swing","Mercury Records",0.756,0.544,5,-10.721,1,0.219,0.154,0.0000621,0.225,0.921,173.2,4
spotify:track:28AlU8S3FGB1A8ViSgL3VT,"Take A Look At My Life","Loyalty","Fat Joe",2002-11-12,240026,37,true,m-airon,2022-03-27T08:34:17Z,"east coast hiphop","RT Industries",0.479,0.845,2,-5.16,0,0.405,0.421,0,0.31,0.616,81.499,4
spotify:track:7fuoqve1SOEBmhc2PoQTF0,"Breathe","Real Talk (123)","Fabolous",2004-10-11,268960,57,true,m-airon,2022-04-13T11:26:56Z,"","Elektra Records",0.713,0.91,10,-5.586,0,0.282,0.34,0,0.304,0.51,83.028,4
spotify:track:0Aob9kSwIN7PLndTeV389L,"Grand Finale","DMX: The Legacy","DMX;Ja Rule;Method Man;Nas",2021-12-10,278013,22,true,m-airon,2022-03-27T08:42:40Z,"east coast hiphop,old school hiphop,hardcore hiphop,hiphop","UME - Global Clearing House",0.777,0.819,10,-5.194,0,0.284,0.014,0,0.338,0.361,100.194,4
spotify:track:13N31D8yFuN4JeYYR7veY6,"Respect - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,321293,52,true,m-airon,2022-04-18T21:16:36Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.902,0.597,1,-5.814,1,0.575,0.197,0.000034,0.308,0.219,88.733,4
spotify:track:0ed6evAMZvewGh4UI9KkVU,"Kick in the Door - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,286186,55,true,m-airon,2022-03-06T00:13:03Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Rhino Atlantic",0.62,0.854,6,-5.578,1,0.628,0.103,0,0.402,0.671,179.801,4
spotify:track:5XLC8xoqyua4U7wJiZAWik,"Method Man","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan",1993-11-09,350640,61,true,m-airon,2019-04-05T00:21:00Z,"old school hiphop,east coast hiphop,hiphop,gangsterrap,hardcore hiphop","RCA Records Label",0.904,0.429,11,-13.782,0,0.27,0.0268,0.000556,0.332,0.648,101.553,4
